out	Kingdom	Phylum	Class	Order	Family	Genus	Species
182171aa97266fce30ac59cae259ce92	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
cbd8105e81718125bffa209c69670bef	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Streptosporangiales	 f__Streptosporangiaceae	 g__Microbispora	
b07d9dd920e0499639e05b319186fec0	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Streptosporangiales	 f__Thermomonosporaceae		
d70c50ab351b52a449dc375d94dd169d	d__Bacteria						
dd623af17a15cb3faa7c42a500d901dc	d__Bacteria	 p__Firmicutes	 c__Bacilli				
aa44245769ee68ba48b2cf4c14c36d1f	d__Bacteria	 p__Bacteroidota	 c__Kapabacteria	 o__Kapabacteriales	 f__Kapabacteriales	 g__Kapabacteriales	
137f121f3f12a6e35eed55b4c0d96ee1	d__Bacteria	 p__Firmicutes					
dd31d54ef52e050e8b4338346f5137a5	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae		
38f0958764c9cbe84761487593d9720f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
a5f2fa81450f14c29a453fc5c1a4922d	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Bacillus	
ac781e9f0fca8bd09a5cee384ad45a42	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
aaac616cb0ec902c7b8b50efe838cd9c	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__Saccharimonadales	
df8e7450143ec7ea84808ee4c92d520f	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae		
14c692174351c79a6efa4d9f9661ca77	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
8dac0364f29322a95306e8a314e3e26c	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae		
401f18979b181cac6175bf8b03138652	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia				
81549dc95d8f53c335779d1925a43dfe	d__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__Oligoflexales	 f__Oligoflexales	 g__Oligoflexus	
05183e2271091dfc8a625aab5ecaecdd	d__Bacteria						
d7bb6b4bfa0bfb8acb46224cbbd492e9	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria				
78ef950b162c674a493c87a27799e063	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae		
16348caed55a7f2d0f9952961f0d3207	d__Bacteria						
ab560dacfe62f74286132ec4f8c43fab	d__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bacteriovoracales	 f__Bacteriovoracaceae	 g__Peredibacter	 s__uncultured_prokaryote
14a019045e07518ca8fdc630897a1cad	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Acinetobacter	
468e1bc59263a4efd28059a595c51cf0	d__Bacteria						
bdc96977c6c4b3cc62ee9243fc71ffe3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
66d43824e0dd2ab73bb0d2d42b4ac771	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Hyphomicrobiaceae		
87f9f5e05b41004c9578a065855bbf18	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Spirosomaceae		
de488b3c13e813ddbefb590b27e67a62	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Ectothiorhodospirales	 f__Thioalkalispiraceae	 g__uncultured	 s__metagenome
aa07d706f3ea6ea789724086682a7043	d__Bacteria	 p__Firmicutes					
127b2ceb0bbc28a4222e74df566da45e	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae		
f7eadcec1b7b4ae5ae89c7469ea8ec52	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Mycobacteriaceae	 g__Mycobacterium	
d1ac48c18a3493e72e65f64bded77d75	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Azospirillales	 f__Inquilinaceae	 g__Inquilinus	 s__uncultured_Inquilinus
44c5c685b1f82b298c8f7999907049b3	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae		
33ba160d4b97d44ff8090d3098be8a43	d__Bacteria	 p__Firmicutes	 c__Bacilli				
2ca9ddfe6b954956e2c79631460c9936	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Salinisphaerales	 f__Solimonadaceae		
0a96230072b1ff850496cc34cc8d06e1	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae		
d2436df9c0e7dd2716875460d0a4145e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Dechloromonas	
e3ddb82080f0db27848828dd1f0f2608	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
37c138954136e12fdd1fae2113f97e0e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__uncultured	 g__uncultured	 s__uncultured_soil
8da412bb0302a24818f80f82c8706721	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae		
56292c31ad07cc4cea738ac555fd8ff3	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Micrococcaceae		
43931d4af1df01af6f294c6445451bff	d__Bacteria	 p__Myxococcota	 c__Myxococcia	 o__Myxococcales	 f__Myxococcaceae	 g__P3OB-42	 s__metagenome
8aaa3ffb2d6f50e2f75787158cd4bc26	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
9312c344d3ebf194775b1ea32bea46c2	d__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	
e2cf80d2e78a3e6cad34c0a242248d3d	d__Bacteria						
7696072d1858159fcd20f4099c01f4ba	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales			
1ca26bcda1b2f6b3266514d3a9db8e86	d__Bacteria						
8d2bdeb347a8bcea499c6f7767453bd0	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Devosiaceae	 g__Devosia	
ca1ff65cdea3bd4981a367bd4b9f726b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
845a21fc93cf89f4e572c151077476a0	d__Bacteria	 p__Firmicutes	 c__Bacilli				
075a7072e2386bcb7f232606947e9c71	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Xanthomonadaceae		
7f8d8e28bf62abc94fc72dfd6ad1f1a7	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales			
6a93a84ddf51b877906935168b895ed8	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales			
8b0f894f3bdeec48b32f7cd43630eaec	d__Bacteria						
da8b5ad06c1e99d1e0d53eac25560413	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Sphingobacterium	
0295e07117ce4f82286b3f57ae1cdf75	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Edaphobaculum	
1b729f916a6135b7cc0dbb69e9d484d2	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Hyphomicrobiaceae		
715b6b90b18d070dfb45defeb7988ebb	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
260cdc2a3bd94774821ed3c7f5bf54c7	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae		
e767505754ec0f9bdc881ea83ce90ab6	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micromonosporales	 f__Micromonosporaceae		
b43438fe06e479ee535455ced5a96dcf	d__Bacteria						
5e42da3fcb4ab5b4fd33871727852dac	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae		
bff8d700763e4f3e9225dc49ca5ac4a2	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae	 g__Conexibacter	
9c2f786e586938937e8d4c88df8a38a3	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
9aba838640c5f345311197e84754d3a7	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales			
c73e701a6a1eb56e0ff010e07ad9a637	d__Bacteria	 p__Proteobacteria					
bdc4fb07da4049b2506450dac1a8a8de	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Brevundimonas	
2291ccd38719e01d613dd274871428ab	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
08d81b8ec33d8c324774fc1c66f4a18f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_Xanthobacteraceae
a7941d2a6788a6dd64a9058fae5bec3d	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Chitinophaga	
831e3d273812f4912eeccbf0adb4b686	d__Bacteria	 p__Firmicutes	 c__Bacilli				
877a19cd2a7ee1f815fff23dc0c5e74f	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter	
50d3098ecfc8ac8f94d39e56cfc6fd6b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae		
d5341c7bcc5fbaddc1ebd6b35527c793	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales			
86b423256580c9ff2ef2f711d74a1fd4	d__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bacteriovoracales	 f__Bacteriovoracaceae	 g__Peredibacter	 s__Peredibacter_starrii
86d0062117f98491d1e47d6baa60628a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__Hirschia	
2b415811444d0641ae7c4da03eee0172	d__Bacteria						
a7625d0a4ac4d38be93e5552220dce5d	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__uncultured	 f__uncultured	 g__uncultured	
12b3c55721405b30e1680c6eb1f068e1	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
99986cd82f3ebc6856d618f6d4079f62	d__Bacteria						
036c21197b848f2bfc687f403845ed69	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Parvibaculales	 f__Parvibaculaceae	 g__Parvibaculum	 s__bacterium_enrichment
0767c811ffc1b052c8b1ccd2cc798c64	d__Bacteria						
59909e6d56a0e355428406e754f60fe4	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Alcaligenaceae		
14aecc97002574aaec24291fbb6c9ff2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales			
8c1f1286a2b356df0cd9ac7a5246bc4a	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae		
7b27b470bb00521ba51842689010bb0b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter	 s__bacterium_L1(2011)
414f8bae446b0d08850facb6ef36d32f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
98cef0abf11c3d7c845194c1cf314288	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae	 g__Conexibacter	
5c30cf7dc1de43798fe14b82a2da0c7f	d__Bacteria	 p__Firmicutes					
ad14b8dd34b61f9d14da31d662788afa	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
fdbe076bb22ed10ea788a1681265cc8c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
574c0e70ab66529ce387a672e5f171e3	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae		
6d2d970bcf0672662c7ac85d560d467e	d__Bacteria	 p__Myxococcota	 c__Myxococcia	 o__Myxococcales			
f435c657675ac67be44e17a28c527b9a	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Nocardioides	
4b109fbfca5d2b9f88900c938ee9a32a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
5ba6085ae15a74bf086aa4fe9bb67f68	d__Bacteria						
6a5e72fa34944875151f2f4f1e024958	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Nocardioides	
ad91cb34a4d1735a7df693c9e05114fa	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
aba28e5fa35f22445a22af5cb53a7ea1	d__Bacteria						
dd388e370ac8e2f50b47b5dc7b3232cd	d__Bacteria						
38481bff8b7f8de0a547f738e2abd764	d__Bacteria						
c1f69006ff21972c885e8ae5d20ab1ff	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Haliangiales	 f__Haliangiaceae	 g__Haliangium	
d5f203122f33f788dda9055aaa892be8	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales			
8224b43efccc3e958f9330c30862063e	d__Bacteria	 p__Proteobacteria					
f2735be08d7b4f399cab4ba9398b94c3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
c7ebd15b50c4d222c39c4d56141fb4ed	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
b8e65af703b6e9ae6fb3059f2fabff1f	d__Bacteria	 p__Bacteroidota					
6d15325ba2dcec8df59943c396271600	d__Bacteria	 p__Firmicutes					
a7486236cbc0df37193c158748d27c9d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Rhodospirillaceae	 g__uncultured	 s__uncultured_bacterium
d4e4cd7bde82cbe72e36daad72d4eb5f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Puniceispirillales	 f__EF100-94H03	 g__EF100-94H03	 s__uncultured_bacterium
86586942c53e2671c504e8095e1137f0	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae		
8a8dfb0392f222ad702c7f25a4dec2af	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Bacillus	
8a2e9c5820fb3b5fb2d9208c745f0b07	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	
adcd750b43e6a2cb3ae65026b47490d9	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
654b73cf1969be484b65bfedb3f63f63	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
db274aad54128c56bd03893ede0dad45	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Crocinitomicaceae	 g__Fluviicola	
4836a4df5f71bec08dd1797d87d847d0	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
13fc12d30cb205b61eee96779920df97	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
e4ba8b38ffb97eff5ef51bae2c9b879e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Kiloniellales	 f__Fodinicurvataceae	 g__uncultured	
89c1bacc65383da6c07c357c2175c4d1	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Chloroflexaceae	 g__Candidatus_Chloroploca	 s__compost_metagenome
d22e4f748c5582a3f92e291b5fc88477	d__Bacteria	 p__Chloroflexi					
471e29bfc673678d07873e6f3eafc054	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae		
8ab2416322c0f2f762f1145dab6d8322	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
38d36f87902993ca43e4e714b57b3c78	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
da439c32543db75a88828051bfe47188	d__Bacteria						
253ba188ab21db2ddb55d73e5a1be7d0	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
3b1bbb83357e1f3b5683c62b3e03a183	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
79e417e52cef35424ed74f0a15820467	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae		
a4bca6cc1fde0fe144bbe9606a1708eb	d__Bacteria						
7a5169576009c41dfcfd7aa9563aeb02	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria				
34c30592f57a719f875a4286d26778cd	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	
425f1798ec8bba5b08fda4332d2c0344	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
55120b8d9412fcc198a1627e6def9ce6	d__Bacteria	 p__Acidobacteriota					
a0ba4222ede5dfcdf647f7368c87f41b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
5bb5d4c88bfbf1d77916f7239ddc2fe1	d__Bacteria	 p__Firmicutes	 c__Bacilli				
39bf582f07799eb1c914d99d63f5d105	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
a89b8545fbf60cb9d58aa8a2d96e7ce0	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
2ce574bf5465869621897f51bf33854b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__uncultured	 g__uncultured	 s__uncultured_soil
580cdf1782b324ac73f39aaa810a4376	d__Bacteria	 p__Firmicutes	 c__Bacilli				
90dbe0ea896b37b5196001925231adef	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales			
c01604fa565eb4a52bcfdcbdb942c019	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
5bed50689f9f915bba350d6ebf79cd17	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales			
0bd36ea2a4362f4277f5374ab665c28a	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Solibacterales	 f__Solibacteraceae	 g__Candidatus_Solibacter	
c2d9106cfa61797b89815980f709b0a5	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Nocardioides	
0a0e3846fec0c76679d5a0ec868c49ac	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Alteromonadaceae	 g__Rheinheimera	
cd71836ea0c8243f398160d69fbbe123	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
d693a51c68a146d1cb9451d228b6a22e	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae	 g__Paenibacillus	
f62bb57dba9f4e6e46780b61433c160d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
4526d78aa0f7ddcda36e387b96538f10	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Exiguobacterales	 f__Exiguobacteraceae	 g__Exiguobacterium	
49b664217f83d3525ecfab65a20386dc	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae		
72e4006d1b9624858af4eb439beb6b92	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
ebdc560e4da19482a32ae45c59818ba3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
110481c6c41e7c51f67e6d6521085127	d__Bacteria	 p__Proteobacteria					
c09b4a64dbe9f5defa423b7364dae4c6	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
e87b93725f4a9fe71c836da531392d47	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
5ec505accaab21a8a06915f7fafcb027	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
2b7e0332924bacaddb7851daa6524fe4	d__Bacteria						
433d6f3881e222b1cb06c84d17346fd0	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Azospirillales	 f__Azospirillaceae	 g__Skermanella	
c73671f2ded2d9777495d232774efbd5	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae		
102faa6703aa29e9ff7c83cc0b86de66	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
864533344e38dcb3c991fd7cfc0f9de8	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
921c475727fb54fc3f4be0aada9d9ab1	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
e00b4ad002200a8dfe42f3ad69e6021e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
a421b8937e8bc199f72c70849fe3a180	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Propionibacteriaceae	 g__Jiangella	
5b720f445290a20eeb27dfcae1a592f8	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia				
41299f887a1d1097db66bbbea9701332	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
9f0f9632115772f03517434916e378fd	d__Bacteria	 p__Firmicutes					
139cce2a3280d4946ded13fdda3ce10e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
38a0c449262084ac077cc1eaed46990f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae		
b88b23cb21abbaac78d542b112ffd8bc	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae		
9471b467d5dc8a3ec7b5238677d80cf1	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
d17ee85d3016b755bb863859bcc5238a	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae	 g__Paenibacillus	
e6b06159a438a0a47ea3b107a8af362f	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__67-14	 g__67-14	
190ab899f7f31477bce9df9ff29c8c55	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae		
3f51f70a03720218cfc259a4d7d1af0d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
dd488840822c2313b133168b0357824f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Devosiaceae	 g__Devosia	 s__uncultured_Caulobacteraceae
5125c3e04a76542f635ba39b730f3ae3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae	 g__uncultured	 s__Afipia_sp.
f446d6e77a2201f6abcbbc7f1f2e203c	d__Bacteria	 p__Firmicutes	 c__Bacilli				
64b15d89e75acf9cfb7785f10cb950d3	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia				
2dd3b104269f77541f493665f21a3e0f	d__Bacteria	 p__Firmicutes	 c__Bacilli				
b0bebdbf3da8d05052e47b492cdbcbf2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Alcaligenaceae		
1ffcbb13278e82faf3de45d0459aabda	d__Bacteria	 p__Acidobacteriota	 c__Holophagae	 o__Subgroup_7	 f__Subgroup_7	 g__Subgroup_7	
375784268c1dc1b232a2b3a034189b4f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales			
8f048a741b39b0f29bceb0b3d3851bc5	d__Bacteria						
f78ca7a93a2951e21c3b84dd2b5f8338	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Clostridiaceae		
fca298c28df2db1b0c9257da1f631c60	d__Bacteria						
d62ebcef1fdba03637dad0ccdb8ca23e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
9684644fcd6e44a7285d008a9700d78a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
4a20e45ab0ea4680c18723b98bfb94f9	d__Bacteria	 p__Chloroflexi	 c__TK10	 o__TK10	 f__TK10	 g__TK10	
18ee62736c156acab0a5cdb589927cc8	d__Bacteria						
ff3d66693d10d7f65c8c3e3e0befba93	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
23ba686a4c77e3698426e7ca8cac302f	d__Bacteria	 p__Fibrobacterota	 c__Fibrobacteria	 o__Fibrobacterales	 f__Fibrobacteraceae	 g__possible_genus_04	
1c75ccb7217c575cfbb4f3374b41b2f8	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter	
3a214ab48a8383eec7f24f5ad6b425f0	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales			
52932cad009381d015381be4c857228f	d__Bacteria	 p__Actinobacteriota					
aac5c7dd447d6637f9a1acdbc1dedf17	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales			
dcb372e9928257121eafd7fb90617cb2	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales			
8cf4aa4db7338bc933c939cf33b969e7	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Brevundimonas	
27ba71cf68b5f07f15457bc5cf620762	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia				
48f3f7a9f79f89045d8855c3bc4d4d2a	d__Bacteria	 p__Verrucomicrobiota	 c__Chlamydiae	 o__Chlamydiales	 f__cvE6	 g__cvE6	
231dec5160efc72d386c316eb09d2857	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
