out	Kingdom	Phylum	Class	Order	Family	Genus	Species
6f6678c8f6a8a3bc69c26c9b80f4b384	d__Bacteria						
1d1da0734586262e06c38d9fe7b9b9f0	d__Bacteria	 p__Acidobacteriota	 c__Holophagae	 o__Subgroup_7	 f__Subgroup_7	 g__Subgroup_7	 s__metagenome
7788dca44d7aeb8a42eb1d71ce51ac2f	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae		
8c6856c99faa0613cc676cfac1414c9b	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__Gemmatimonas	
caa8d87406cb2b3260fca76ff908bfa0	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Chitinophaga	
c8dd0de27df75e762cfc2acb1e872242	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
171854c3a2117a52dc275f2fbb5144bc	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
754e13d4af79128d8f9855d560b267d7	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae		
fa2f3f593412a142a963d53c52756005	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Taibaiella	
681f79babc1a30d4637ba44874c154c4	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
209a8bba191410a0d44a5b6eeab84f40	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__uncultured	
1495ac2aa167d707bbe900643cc9ba2d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
5e77b15d00cf1307f68991357cf69503	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
72d248143ddfb9d1f4c5840449826297	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micropepsales	 f__Micropepsaceae	 g__uncultured	
ba000a219653e6c3c98bb1cef1868acf	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
1cbd0eb97e550491b594b425f0bc5cc5	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales			
1d3d0f99a147d542ef1449432579a6f4	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
e6f39403f525111169a91c7ac6e6ee0c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
49b3c4a1f9ab809ea604d38da071c843	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae		
84610d31f8a2df4198c3210579b42776	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Alteromonadaceae	 g__Rheinheimera	
971195c9e9785d1bbd3687fe52542a2f	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales			
1bda232ec70d63ba07436e284c071ccb	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
971103103a2b602e1c02f78957e45266	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
99e03940365c81add98b03a0cbc3474c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micropepsales	 f__Micropepsaceae	 g__uncultured	
b136293a2b4d32204256524c4694c904	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales			
84590b679db986dd077a495e5c616c75	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
32b31fd1295c44f42996e6ee436c2cd5	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiales_Incertae_Sedis	 g__Bauldia	
776e124e5ea7eb448eb8efbb55e33aea	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
