sample_ID	soil_sample	timepoint	inoculation	treatment	biorep	original_specifictreatment	original_id	to_be_analyzed	to_be_analyzed_carrot	to_be_analyzed_noCarrot	treat_three	treat_three_sorted
SSNTP1INNTRBBR2	no	One	None	Biofungicide	2	Timepoint1Biofungicide_no_carrot	ITS.D2	yes	no	yes	Biofungicide_NO_CL09	Biofungicide_NO_CL09
SSNTP1INNTRBBR3	no	One	None	Biofungicide	3	Timepoint1Biofungicide_no_carrot	ITS.D3	yes	no	yes	Biofungicide_NO_CL09	Biofungicide_NO_CL09
SSNTP1INNTRBBR4	no	One	None	Biofungicide	4	Timepoint1Biofungicide_no_carrot	ITS.D4	yes	no	yes	Biofungicide_NO_CL09	Biofungicide_NO_CL09
SSCTP1INYTRBBR1	carrot	One	CL09	Biofungicide	1	Timepoint1Biofungicide_CL09_and_carrot	ITS.D5	yes	yes	no	Biofungicide_CL09	Biofungicide_CL09
SSCTP1INYTRBBR2	carrot	One	CL09	Biofungicide	2	Timepoint1Biofungicide_CL09_and_carrot	ITS.D6	yes	yes	no	Biofungicide_CL09	Biofungicide_CL09
SSCTP1INYTRBBR3	carrot	One	CL09	Biofungicide	3	Timepoint1Biofungicide_CL09_and_carrot	ITS.D7	yes	yes	no	Biofungicide_CL09	Biofungicide_CL09
SSCTP1INYTRBBR4	carrot	One	CL09	Biofungicide	4	Timepoint1Biofungicide_CL09_and_carrot	ITS.D8	no	no	no	Biofungicide_CL09	Biofungicide_CL09
SSNTP1INYTRBBR1	no	One	CL09	Biofungicide	1	Timepoint1Biofungicide_CL09_no_carrot	ITS.D9	yes	no	yes	Biofungicide_CL09	Biofungicide_CL09
SSNTP1INYTRBBR2	no	One	CL09	Biofungicide	2	Timepoint1Biofungicide_CL09_no_carrot	ITS.D10	yes	no	yes	Biofungicide_CL09	Biofungicide_CL09
SSNTP1INYTRBBR3	no	One	CL09	Biofungicide	3	Timepoint1Biofungicide_CL09_no_carrot	ITS.D11	no	no	no	Biofungicide_CL09	Biofungicide_CL09
SSNTP1INYTRBBR4	no	One	CL09	Biofungicide	4	Timepoint1Biofungicide_CL09_no_carrot	ITS.D12	yes	no	yes	Biofungicide_CL09	Biofungicide_CL09
SSCTP2INNTRNBR1	carrot	two	None	None	1	Timepoint2Control_with_carrot	ITS.E1	yes	yes	no	Control_NO_CL09	Control_NO_CL09
SSCTP2INNTRNBR2	carrot	two	None	None	2	Timepoint2Control_with_carrot	ITS.E2	yes	yes	no	Control_NO_CL09	Control_NO_CL09
SSCTP2INNTRNBR3	carrot	two	None	None	3	Timepoint2Control_with_carrot	ITS.E3	no	no	no	Control_NO_CL09	Control_NO_CL09
SSCTP2INNTRNBR4	carrot	two	None	None	4	Timepoint2Control_with_carrot	ITS.E4	yes	yes	no	Control_NO_CL09	Control_NO_CL09
SSNTP2INNTRNBR1	no	two	None	None	1	Timepoint2control_no_carrot	ITS.E5	yes	no	yes	Control_NO_CL09	Control_NO_CL09
SSNTP2INNTRNBR2	no	two	None	None	2	Timepoint2control_no_carrot	ITS.E6	yes	no	yes	Control_NO_CL09	Control_NO_CL09
